source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
698,D0100058,The effects of weather on daily mood: A multilevel approach,2008,Emotion,temperature,FULLTEXT_REVIEW,"Repeated online mood diaries were linked to weather-station data and analyzed with multilevel models, but temperature effects on negative affect are reported without magnitude or uncertainty.",FULLTEXT_REVIEW,"Online daily diary linked to weather station data provides objective temperature exposure and repeated within-person affect measures. However, the abstract reports only qualitative main effects and small average effect size, without a numeric temperature coefficient or uncertainty, so extractable adjusted effects must be confirmed in full text.",FULLTEXT_REVIEW
699,D0100088,"Non-economic factors in violence: Evidence from organized crime, suicides and climate in Mexico",2019,Journal of Economic Behavior & Organization,temperature,EXCLUDE,"The target outcomes are organized-crime killings and interpersonal homicide; suicide appears only as a comparison, and no temperature effect on an eligible mental-health outcome is reported.",FULLTEXT_REVIEW,Abstract indicates a quantitative temperature relationship with suicides in Mexico but reports no suicide-specific effect size or uncertainty and does not specify exposure source or design.,ADJUDICATE_PRIORITY
700,D0100180,Immune function and affective states following a natural disaster,2002,Psychological Reports,cyclone,NARRATIVE_ONLY,"Participants were assessed only after Hurricane Andrew, and damaged-neighborhood comparisons of negative affect lack a measured pre-event outcome or credible before-after counterfactual.",NARRATIVE_ONLY,"Post-event only: 105 participants after Hurricane Andrew; negative affect compared between storm-damaged and less damaged neighborhoods. Damage-severity association without pre-event baseline or credible counterfactual; regression is for salivary IgA, not mental health. Not eligible for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
701,D0100655,Environmental factors and admission rates in patients with major psychiatric disorders,1994,Chronobiology International,temperature,EXCLUDE,"Temperature was one of several environmental correlates, but the reported finding concerns photoperiod; the abstract does not report a temperature effect on admissions as the primary hazard analysis.",NARRATIVE_ONLY,"Monthly correlations between admission rates and environmental factors (temperature, humidity, etc.) are descriptive; only a photoperiod association is reported, no temperature-specific effect or uncertainty. Bivariate ecological correlations lack a credible counterfactual for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
702,D0102198,Influence of attitude and expectation on moods and symptoms during cold weather military training.,1989,"Aviation, space, and environmental medicine",temperature,FULLTEXT_REVIEW,"Soldiers had repeated mood assessments during three days with varying ambient cold, and regression tested temperature, but the null temperature result has no estimate or uncertainty.",FULLTEXT_REVIEW,"Abstract reports 3-day cold-weather training with ambient temperature (-18 to 0 C) and POMS mood outcomes, but does not confirm within-soldier temporal exposure variation, separation of temperature from day/training effects, or a temperature effect estimate with uncertainty; only states temperature had no significant influence.",FULLTEXT_REVIEW
703,D0102199,Influence of attitude and expectation on moods and symptoms during cold weather military training,1989,Aviation Space and Environmental Medicine,temperature,FULLTEXT_REVIEW,"Soldiers had repeated mood assessments during three days with varying ambient cold, and regression tested temperature, but the null temperature result has no estimate or uncertainty.",FULLTEXT_REVIEW,"Abstract reports 59 soldiers, objective ambient temperature, and POMS mood outcomes with a null temperature effect over 3 cold days. However, it does not specify within-unit repeated-measures design or report a numeric hazard effect/uncertainty, so full text is needed to verify credible temporal counterfactual and extractable adjusted estimate.",FULLTEXT_REVIEW
704,D0102200,Influence of attitude and expectation on moods and symptoms during cold weather military training,1989,"Aviation, Space, and Environmental Medicine",temperature,FULLTEXT_REVIEW,"Mood was repeatedly assessed during three days of cold-weather training, but this abstract does not report the temperature coefficient, uncertainty, or even a temperature-specific result.",FULLTEXT_REVIEW,"Abstract says air temperature was included as a predictor but reports only expectation and life-stress associations, not a temperature-specific mood/illness effect estimate or uncertainty. Full text needed to establish hazard effect extraction.",FULLTEXT_REVIEW
705,D0103128,Psychiatric admissions and climatic factors in the coastal regions of Israel,1973,Israel Annals of Psychiatry and Related Disciplines,temperature,FULLTEXT_REVIEW,"Monthly psychiatric admissions were linked to meteorological-station temperature over 1961-1970, but only significance and direction are given for temperature.",FULLTEXT_REVIEW,"Monthly psychiatric admissions and objectively measured meteorological variables over 1961-1970 suggest a time-series design, but the abstract calls the analysis crude with uncontrolled variables, reports only significant correlations without coefficients/uncertainty, and does not describe seasonal adjustment or a credible counterfactual. Full text must establish a hazard-specific adjusted effect.",FULLTEXT_REVIEW
706,D0103129,Psychiatric admissions and climatic factors in the coastal regions of Israel,1973,Israel Annals of Psychiatry and Related Disciplines,temperature,FULLTEXT_REVIEW,"Monthly psychiatric admissions were linked to meteorological-station temperature over 1961-1970, but only significance and direction are given for temperature.",FULLTEXT_REVIEW,"Abstract reports monthly psychiatric admissions compared with meteorological factors over 10 years and significant correlations with heat/radiation/temperature, but no numeric effect size or uncertainty and no adjustment for seasonality/trend; full text needed to confirm extractable time-series estimates.",FULLTEXT_REVIEW
707,D0103130,Psychiatric admissions and climatic factors in the coastal regions of Israel,1973,Israel Annals of Psychiatry & Related Disciplines,temperature,FULLTEXT_REVIEW,"The ten-year admission series was analyzed against temperature and other meteorological factors, but the abstract supplies only p<.05 for the temperature correlation.",FULLTEXT_REVIEW,"Objective meteorological exposure and psychiatric admissions are eligible, but abstract reports only seasonal peaks and p<.05 correlations without magnitudes or adjusted estimates; full text must confirm time-series analysis and extractable effect.",FULLTEXT_REVIEW
708,D0103683,Health of a team competing in the 1990 World Solar Car Challenge.,1992,Journal of the Royal Society of Medicine,temperature,FULLTEXT_REVIEW,"Daily emotional-reaction scores were correlated with changing maximum temperature during the race, but the abstract does not identify the temperature data source or report an effect with uncertainty.",FULLTEXT_REVIEW,"Repeated daily NHP measures over 10 race days with ambient maximum/minimum temperature suggest a time-series/repeated-measures design with an eligible emotional-reactions outcome, but the abstract reports only 'significant correlations' without numeric coefficients or adjusted effect estimates; full text needed to confirm extractable hazard effect and credible temporal counterfactual.",FULLTEXT_REVIEW
709,D0104530,[Psychological and physical health of the July 1996 disaster victims: A comparative study between victims and non-victims.].,2000,Sante mentale au Quebec,flood,NARRATIVE_ONLY,Victims and non-victims were compared once two years after the flood; no pre-flood outcome or before-after control is described.,NARRATIVE_ONLY,"The abstract compares flood victims and non-victims only two years after the flood, measuring depression, anxiety, PTSD and wellbeing; this exposed/unexposed single post-event comparison has no pre-event outcome or credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
710,D0104577,[Post-traumatic stress disorder. After the flood in Saguenay].,2000,Canadian family physician Medecin de famille canadien,flood,NARRATIVE_ONLY,The abstract explicitly identifies a cross-sectional telephone survey comparing flooded and adjacent control areas four months after the event.,NARRATIVE_ONLY,"Cross-sectional post-flood telephone survey comparing PTSD/emotional distress prevalence in flooded vs control group; no pre-event baseline or temporal counterfactual, so unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
711,D0104578,Post-traumatic stress disorder. After the flood in Saguenay,2000,Canadian family physician Médecin de famille canadien,flood,NARRATIVE_ONLY,The abstract explicitly identifies a cross-sectional telephone survey comparing flooded and adjacent control areas four months after the event.,NARRATIVE_ONLY,"Cross-sectional post-flood telephone survey comparing 62 flooded-area adults with 79 controls; no pre-event baseline or temporal counterfactual. PTSD and emotional distress ORs with CIs are reported, but design is a single post-event exposed/unexposed comparison, so not eligible for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
712,D0104593,[Risk factors for post traumatic stress symptoms five years after the 1992 flood in the Vaucluse (France)].,2000,Revue d'epidemiologie et de sante publique,flood,NARRATIVE_ONLY,"Five years after the flood, both cumulative individual exposure and PTSD symptoms were measured in one retrospective telephone questionnaire, with no external exposure linkage.",NARRATIVE_ONLY,"Single-wave telephone survey conducted 5 years post-flood in one affected municipality; individual exposure was retrospectively self-reported via questionnaire, with no pre-event outcome or temporal counterfactual. This is a cross-sectional exposed-only design unsuitable for causal hazard-effect estimation.",DO_NOT_ADVANCE_MAIN_META
713,D0104594,Risk factors for post traumatic stress symptoms five years after the 1992 flood in the Vaucluse (France),2000,Revue D Epidemiologie Et De Sante Publique,flood,NARRATIVE_ONLY,"Five years after the flood, both cumulative individual exposure and PTSD symptoms were measured in one retrospective telephone questionnaire, with no external exposure linkage.",NARRATIVE_ONLY,"Five-year post-flood telephone survey with retrospective self-reported individual exposure and PTSD symptoms; no pre-event baseline or credible counterfactual, so unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
714,D0105139,Health impacts of flooding in Lewes: a comparison of reported gastrointestinal and other illness and mental health in flooded and non-flooded households.,2004,Communicable disease and public health,flood,NARRATIVE_ONLY,Flooded and non-flooded households were recruited and assessed only after the event; the historical-cohort label does not supply a pre-event mental-health baseline.,NARRATIVE_ONLY,"Historical cohort compares flooded vs non-flooded households after severe flooding. Psychological distress measured by GHQ-12 post-event only, with no pre-event baseline. This is an affected-versus-unaffected post-event comparison, not a credible counterfactual for flood mental-health effects. RR 4.1 [2.6, 6.4] is reported but design unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
715,D0105140,Health impacts of flooding in Lewes: a comparison of reported gastrointestinal and other illness and mental health in flooded and non-flooded households.,2004,Communicable Disease and Public Health PHLS,flood,NARRATIVE_ONLY,Flooded and non-flooded households were recruited and assessed only after the event; the historical-cohort label does not supply a pre-event mental-health baseline.,NARRATIVE_ONLY,"Post-event comparison of flooded vs non-flooded households with GHQ-12 distress; no pre-flood baseline, so affected-versus-unaffected comparison alone is not a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
716,D0105141,Health impacts of flooding in Lewes: a comparison of reported gastrointestinal and other illness and mental health in flooded and non-flooded households.,2004,Communicable disease and public health / PHLS,flood,NARRATIVE_ONLY,Flooded and non-flooded households were recruited and assessed only after the event; the historical-cohort label does not supply a pre-event mental-health baseline.,NARRATIVE_ONLY,"Post-flood telephone survey compares GHQ-12 psychological distress in flooded vs non-flooded households; no pre-event mental-health baseline or credible counterfactual. Flood-depth trend is an affected-only/post-event gradient, so design is unsuitable despite RR 4.1 [2.6, 6.4].",DO_NOT_ADVANCE_MAIN_META
717,D0105180,[Influence of weather factors on suicidal hangings].,2005,Przeglad lekarski,temperature,FULLTEXT_REVIEW,"Suicidal hangings were evaluated across 1991-2002 against daily heat, cold, and temperature changes, but the weather source and quantitative temperature effect are not reported.",FULLTEXT_REVIEW,"Abstract reports weather-suicide frequency associations in Cracow but only qualitative 'more frequency' statements; no quantitative effect size, uncertainty, or statistical model is given. Temperature is one of multiple weather factors. Full text needed to determine whether an extractable adjusted temperature hazard effect exists in a credible time-series design.",FULLTEXT_REVIEW
718,D0105181,Influence of weather factors on suicidal hangings,2005,Przeglad Lekarski,temperature,FULLTEXT_REVIEW,"Suicidal hangings were evaluated across 1991-2002 against daily heat, cold, and temperature changes, but the weather source and quantitative temperature effect are not reported.",FULLTEXT_REVIEW,"Abstract describes association between weather factors (including temperature extremes) and suicide frequency over 1991-2002 but reports no quantitative effect sizes or uncertainty, and does not specify statistical model or exposure measurement. Full text needed to verify extractable hazard-specific estimates and time-series counterfactual.",FULLTEXT_REVIEW
719,D0105182,Influence of weather factors on suicidal hangings,2005,Przegla̧d lekarski,temperature,FULLTEXT_REVIEW,"Suicidal hangings were evaluated across 1991-2002 against daily heat, cold, and temperature changes, but the weather source and quantitative temperature effect are not reported.",FULLTEXT_REVIEW,"Relevant suicide outcome and objective weather data over 1991-2002, but abstract reports only directional frequency patterns for multiple weather factors; no quantitative hazard-specific effect or uncertainty and temperature is not isolated.",FULLTEXT_REVIEW
720,D0105959,[Impact of the summer 2003 heat wave on the activity of two psychiatric emergency departments].,2009,Actas espanolas de psiquiatria,temperature,FULLTEXT_REVIEW,"Psychiatric emergencies during a defined 15-day heatwave were compared with other summer days, but no heatwave effect estimate or uncertainty is supplied.",FULLTEXT_REVIEW,"Abstract reports a comparison of psychiatric emergency department activity during a 15-day heatwave vs rest of summer, but provides only directional/significance statements without quantitative effect sizes or confidence intervals and does not specify analytic model or control for temporal confounders. Full text needed to verify temporal design and extractable effects.",FULLTEXT_REVIEW
721,D0105960,Impact of the summer 2003 heat wave on the activity of two psychiatric emergency departments,2009,Actas Espanolas De Psiquiatria,temperature,FULLTEXT_REVIEW,"Psychiatric emergencies during a defined 15-day heatwave were compared with other summer days, but no heatwave effect estimate or uncertainty is supplied.",FULLTEXT_REVIEW,"Abstract describes an original emergency-department comparison of a heatwave period vs the rest of summer for psychiatric outcomes, with objective temperature exposure and eligible psychiatric service use/diagnosis outcomes. However, it reports mostly descriptive between-period differences and significance without quantitative effect estimates or uncertainty, so extractability is unresolved.",FULLTEXT_REVIEW
722,D0105961,Impact of the summer 2003 heat wave on the activity of two psychiatric emergency departments,2009,Actas españolas de psiquiatría,temperature,FULLTEXT_REVIEW,"Psychiatric emergencies during a defined 15-day heatwave were compared with other summer days, but no heatwave effect estimate or uncertainty is supplied.",FULLTEXT_REVIEW,Abstract reports only qualitative period comparisons of psychiatric emergency activity during a heat wave versus the rest of summer; no quantitative hazard effect or uncertainty is given and no adjusted/time-series model is stated. Full text needed to verify design and extractability.,FULLTEXT_REVIEW
723,D0105962,Impact of the summer 2003 heat wave on the activity of two psychiatric emergency departments,2009,Actas Españolas de Psiquiatría,temperature,FULLTEXT_REVIEW,"Psychiatric emergencies during a defined 15-day heatwave were compared with other summer days, but no heatwave effect estimate or uncertainty is supplied.",FULLTEXT_REVIEW,"Abstract compares psychiatric emergency outcomes during a 15-day heat wave with the rest of summer, a within-unit temporal design, but reports only directional/significance findings without numerical effect estimates or uncertainty. Full text needed to confirm extractable adjusted hazard effect.",FULLTEXT_REVIEW
724,D0106288,Psychological distress following wildfires disaster in a rural part of Greece: a case-control population-based study.,2011,International journal of emergency mental health,wildfire,NARRATIVE_ONLY,"The abstract explicitly describes a cross-sectional case-control interview after the wildfire, with losses used to characterize exposure and no pre-event outcome.",NARRATIVE_ONLY,"Cross-sectional case-control comparing wildfire-exposed to unexposed controls after the event, with no pre-event baseline or temporal/quasi-experimental counterfactual. Relevant mental health outcomes but design is unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
725,D0106289,Psychological distress following wildfires disaster in a rural part of greece: A case-control population-based study,2011,International Journal of Emergency Mental Health,wildfire,NARRATIVE_ONLY,"The abstract explicitly describes a cross-sectional case-control interview after the wildfire, with losses used to characterize exposure and no pre-event outcome.",NARRATIVE_ONLY,"The abstract explicitly describes a cross-sectional case-control study comparing wildfire-exposed vs controls after the event. This is a single-wave post-event comparison with no pre-event baseline or temporal counterfactual, so it cannot support a causal hazard effect for the meta-analysis.",DO_NOT_ADVANCE_MAIN_META
726,D0106290,Psychological distress following wildfires disaster in a rural part of Greece: a case-control population-based study.,2011,International journal of emergency mental health,wildfire,NARRATIVE_ONLY,"The abstract explicitly describes a cross-sectional case-control interview after the wildfire, with losses used to characterize exposure and no pre-event outcome.",NARRATIVE_ONLY,The abstract explicitly describes a cross-sectional case-control study comparing post-event exposed vs controls with no pre-exposure baseline or temporal counterfactual; it reports only group differences without a quantitative hazard effect and uncertainty.,DO_NOT_ADVANCE_MAIN_META
727,D0106291,Psychological distress following wildfires disaster in a rural part of Greece: A case-control population-based study,2011,International Journal of Emergency Mental Health,wildfire,NARRATIVE_ONLY,"The abstract explicitly describes a cross-sectional case-control interview after the wildfire, with losses used to characterize exposure and no pre-event outcome.",NARRATIVE_ONLY,"Cross-sectional case-control study comparing wildfire-exposed and control groups after the event, with no pre-event baseline or credible temporal counterfactual. Eligible distress outcomes were measured, but the design is unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
728,D0106616,"Associations between air temperature and daily suicide counts in Astana, Kazakhstan.",2013,"Medicina (Kaunas, Lithuania)",temperature,META_ELIGIBLE,Daily suicide counts were modeled against daily apparent temperature over six years with temporal and weather controls; adjusted percent changes and 95% CIs are reported.,META_ELIGIBLE,"Daily suicide counts in Astana 2005-2010 analyzed with negative binomial regression against ambient apparent temperature, adjusting for month, year, weekends, holidays, wind, pressure, and humidity. Reports adjusted quantitative effects with 95% CIs (mean apparent temperature 2.1%, 95% CI 0.4-3.8; maximum apparent temperature 1.2%, 95% CI 0.1-2.3).",PRIORITY_FULLTEXT
729,D0106617,"Associations between air temperature and daily suicide counts in Astana, Kazakhstan",2013,"Medicina (Kaunas, Lithuania)",temperature,META_ELIGIBLE,Daily suicide counts were modeled against daily apparent temperature over six years with temporal and weather controls; adjusted percent changes and 95% CIs are reported.,META_ELIGIBLE,"Daily suicide counts in Astana were analyzed with negative binomial time-series regression, controlling for month, year, weekends, holidays, wind, pressure, and humidity. The abstract reports an adjusted effect: a 1°C increase in mean apparent temperature was associated with a 2.1% increase in suicide counts (95% CI, 0.4-3.8).",PRIORITY_FULLTEXT
730,D0107358,The association of adverse mental health effects with repeated exposure to disasters.,2018,Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists,flood,FULLTEXT_REVIEW,"The study modeled post-flood disorders by number of flood exposures while controlling lifetime pre-disaster disorders, but it is unclear whether pre-event outcomes were prospectively measured or reconstructed retrospectively.",EXCLUDE,"Abstract reports post-disaster psychopathology consisted mainly of alcohol use disorder that predated floods; PTSD and incident psychiatric disorders were nonexistent or rare. Alcohol use disorder is not an eligible mental-health outcome, and no extractable effect on an eligible outcome is shown.",ADJUDICATE_PRIORITY
731,D0107359,The association of adverse mental health effects with repeated exposure to disasters,2018,Annals of Clinical Psychiatry Official Journal of the American Academy of Clinical Psychiatrists,flood,FULLTEXT_REVIEW,"The study modeled post-flood disorders by number of flood exposures while controlling lifetime pre-disaster disorders, but it is unclear whether pre-event outcomes were prospectively measured or reconstructed retrospectively.",EXCLUDE,"The abstract reports post-disaster psychopathology consisted mainly of alcohol use disorder that predated the disasters, while disaster-related PTSD and incident psychiatric disorders were nonexistent or rare. Alcohol use disorder is not an eligible mental health outcome.",ADJUDICATE_PRIORITY
732,D0107360,The association of adverse mental health effects with repeated exposure to disasters,2018,Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists,flood,FULLTEXT_REVIEW,"The study modeled post-flood disorders by number of flood exposures while controlling lifetime pre-disaster disorders, but it is unclear whether pre-event outcomes were prospectively measured or reconstructed retrospectively.",FULLTEXT_REVIEW,"Abstract reports pre/post psychiatric assessments after repeated disasters including floods, but does not show a credible counterfactual or hazard-specific adjusted effect; exposure measurement is unspecified.",FULLTEXT_REVIEW
733,D0107361,The association of adverse mental health effects with repeated exposure to disasters,2018,Annals of Clinical Psychiatry,flood,FULLTEXT_REVIEW,"The study modeled post-flood disorders by number of flood exposures while controlling lifetime pre-disaster disorders, but it is unclear whether pre-event outcomes were prospectively measured or reconstructed retrospectively.",FULLTEXT_REVIEW,"Abstract reports mixed disaster exposures (flood, tornado, dioxin, radioactive well water) and psychiatric outcomes dominated by alcohol use disorder; no flood-specific adjusted effect or uncertainty is shown, so full text must establish eligible outcome and extractable estimate.",FULLTEXT_REVIEW
734,D0108093,Psychological effects of hurricane andrew on an elementary school population,1995,Journal of the American Academy of Child and Adolescent Psychiatry,cyclone,NARRATIVE_ONLY,"PTSD and teacher psychopathology measures began 8 weeks after Hurricane Andrew; the only pre-event series was disruptive school behavior, not a clearly eligible mental-health outcome.",NARRATIVE_ONLY,Abstract describes post-hurricane comparison of HI-IMPACT vs LO-IMPACT schools with PTS/TRF measured only at 8 and 32 weeks after Hurricane Andrew; no pre-event baseline for eligible outcomes. Exposed/unexposed post-event comparison is not a credible counterfactual.,DO_NOT_ADVANCE_MAIN_META
735,D0108705,L'état de stress post-traumatique: L'après-déluge au Saguenay,2000,Canadian Family Physician,flood,NARRATIVE_ONLY,The abstract explicitly identifies a cross-sectional telephone survey comparing flooded and adjacent control areas four months after the event.,NARRATIVE_ONLY,"Cross-sectional telephone survey comparing flooded victims (n=62) with controls (n=79), measured 4 months post-flood. Reports ORs for PTSD and distress but lacks pre-event baseline or credible counterfactual; single post-event exposed/unexposed comparison.",DO_NOT_ADVANCE_MAIN_META
736,D0109090,A polar expedition in challenging circumstances: Experiences and reactions,2003,Tidsskrift for den Norske Laegeforening,temperature,EXCLUDE,"The study evaluates psychological reactions before, during, and after a polar expedition as a bundled experience; it does not measure ambient temperature as the explanatory exposure.",NARRATIVE_ONLY,"Case series of four expeditioners with GHQ-30 and STAI measured before, during, and after an expedition; abstract reports qualitative themes and descriptive psychometric trajectories but no objective temperature exposure measure or hazard-specific causal effect.",DO_NOT_ADVANCE_MAIN_META
737,D0109324,Trauma and stress eight months after floods in 2002,2004,Psychiatrie,flood,NARRATIVE_ONLY,"Affected and control participants were assessed once eight months after the flood, without a pre-event outcome baseline or before-after control.",NARRATIVE_ONLY,Affected vs unaffected groups compared once at 8 months post-flood; PTSD and IES-R outcomes. No pre-flood measurement or temporal counterfactual; single post-event comparison cannot estimate a causal hazard effect.,DO_NOT_ADVANCE_MAIN_META
738,D0109325,Trauma and stress eight months after floods in 2002,2004,Psychiatrie,flood,NARRATIVE_ONLY,"Affected and control participants were assessed once eight months after the flood, without a pre-event outcome baseline or before-after control.",NARRATIVE_ONLY,"Single-wave post-flood cross-sectional comparison of affected (N=71) versus matched unaffected controls (N=67), no pre-flood mental health measures. PTSD prevalence did not differ significantly; IES-R scores were higher in affected subjects but no pre-event baseline or temporal counterfactual, so the design is unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
739,D0109388,Relationships between metal stress and cerebrovascular diseases of colony after disaster,2004,Chinese Journal of Clinical Rehabilitation,flood,NARRATIVE_ONLY,"Flood-damage groups and a control were followed only after the disaster; no pre-flood mental-health outcome is described, and the main endpoint is cerebrovascular disease.",NARRATIVE_ONLY,"Abstract compares mental health (SCL-90) after flood among severe/slight disaster groups and a control group; no pre-flood mental health measurement is reported. This is an affected-versus-unaffected post-event comparison without a pre-event baseline, so the flood effect on mental health is not a credible causal estimate.",DO_NOT_ADVANCE_MAIN_META
740,D0109756,Sense of mastery as a moderator of longerterm effects of disaster impact on psychological distress,2006,People Under Extreme Stress,flood,NARRATIVE_ONLY,"All assessments began 12 months after the flood, and the predictor was self-reported threat and injury; repeated follow-up measures only post-disaster recovery.",NARRATIVE_ONLY,"First interviews occurred 12 months post-flood with no pre-event baseline; the sample is exposed-only and exposure is self-reported disaster trauma. Analyses test predictors/moderators of distress, not a flood hazard effect.",DO_NOT_ADVANCE_MAIN_META
741,D0111329,Indoor environment and health effects in water-damaged homes after flooding,2012,10th International Conference on Healthy Buildings 2012,flood,NARRATIVE_ONLY,A single household questionnaire compared self-reported water damage and post-flood symptoms; no pre-event outcome or external household exposure linkage is described.,NARRATIVE_ONLY,"Post-flood single-wave questionnaire survey comparing water-damaged and non-damaged homes; no pre-event baseline or within-unit temporal variation, so the exposed/unexposed post-event comparison is not a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
742,D0112790,Effects of meteorological factors on higher mental functions and autonomic nervous system in southern population,2019,New Armenian Medical Journal,temperature,FULLTEXT_REVIEW,"The same 45 people were assessed in autumn and winter and anxiety was associated with meteorological factors during a heatwave observation, but exposure source and effect estimates are absent.",FULLTEXT_REVIEW,"Repeated measures in two seasons with meteorological factors including temperature and anxiety outcome are plausible, but abstract only reports correlations and significant associations without a clear causal counterfactual or quantitative hazard-specific estimate.",FULLTEXT_REVIEW
743,D0113679,Impact of climate change on mental health Quantitative research,2026,Archives of Hellenic Medicine,temperature,FULLTEXT_REVIEW,"Participants reported mental health once during high and once during low temperatures, but the abstract does not identify objective weather data or provide effect estimates with uncertainty.",FULLTEXT_REVIEW,"Abstract reports a repeated survey of 120 Greek citizens measured once during high and once during low temperatures, with eligible outcomes (stress, anxiety, life satisfaction). It does not state whether temperature exposure was objectively measured, whether the analysis adjusted for seasonal/time confounders, or report quantitative effect sizes/uncertainty; only significance is noted. Full text is required to resolve these issues.",FULLTEXT_REVIEW
744,D0113680,Impact of climate change on mental health Quantitative research,2026,Archives of Hellenic Medicine,temperature,FULLTEXT_REVIEW,"Participants reported mental health once during high and once during low temperatures, but the abstract does not identify objective weather data or provide effect estimates with uncertainty.",FULLTEXT_REVIEW,"Abstract reports a repeated within-person comparison of self-reported stress, anxiety, and life satisfaction across high- vs low-temperature periods in 120 Greek citizens, with statistically significant differences. It does not, however, report effect sizes or uncertainty estimates; full text must confirm extractable quantitative effects and design details.",FULLTEXT_REVIEW
745,D0114913,Immune function and affective states following a natural disaster.,2002,Psychological reports,cyclone,NARRATIVE_ONLY,Students in more- and less-damaged neighborhoods were assessed only after Hurricane Andrew; there is no pre-event affect baseline or credible before-after control.,NARRATIVE_ONLY,"Abstract reports a post-event comparison of students living in storm-damaged versus less damaged neighborhoods after Hurricane Andrew, with no pre-event negative affect measure. This is a damage-severity association without a credible counterfactual for a causal hazard effect.",DO_NOT_ADVANCE_MAIN_META
746,D0115136,Natural disaster and depression: a prospective investigation of reactions to the 1993 midwest floods.,2000,American journal of community psychology,flood,FULLTEXT_REVIEW,"The statewide sample had pre-flood outcomes and a post-flood control comparison, but the abstract does not explain how victim status or flood impact was ascertained and gives no extractable effect.",FULLTEXT_REVIEW,"Prospective pre/post design with control group and depression outcomes is relevant, but abstract lacks numeric effect size and uncertainty and does not specify how flood exposure was objectively measured; full text needed to confirm extractable adjusted estimates.",FULLTEXT_REVIEW
747,D0115503,Received and perceived social support in times of stress: a test of the social support deterioration deterrence model.,1996,Journal of personality and social psychology,cyclone,NARRATIVE_ONLY,Both hurricane samples consist of victims first assessed months after the storms; scope of self-reported exposure predicts later distress without a pre-event outcome baseline.,NARRATIVE_ONLY,"Post-disaster longitudinal samples of hurricane victims only, with waves 12/24 and 6/28 months after the event; no pre-event outcome or unaffected comparator, so no credible counterfactual for a hazard effect. Abstract focuses on social support mediation and reports no quantitative hazard effect with uncertainty.",DO_NOT_ADVANCE_MAIN_META
748,D0115865,Post-traumatic stress disorder in adolescents after a hurricane,1993,American Journal of Epidemiology,cyclone,NARRATIVE_ONLY,"Adolescents completed a single questionnaire one year after Hurricane Hugo, and hurricane exposure was a contemporaneously reported correlate of PTSD.",NARRATIVE_ONLY,"Single-wave school-based survey conducted one year after Hurricane Hugo; no pre-event baseline or credible counterfactual, and exposure measurement is unresolved. Reports an adjusted OR but the design cannot support causal inference for the meta-analysis.",DO_NOT_ADVANCE_MAIN_META
749,D0115944,A test of the social support deterioration model in the context of natural disaster.,1993,Journal of personality and social psychology,flood,FULLTEXT_REVIEW,"Older adults were interviewed before and twice after a flood and LISREL estimated disaster effects on depression, but the exposure source and numerical effects are not reported.",FULLTEXT_REVIEW,"Prospective pre-flood/post-flood longitudinal study with depression outcome, but abstract calls exposure 'disaster exposure (stress)' without specifying objective measurement or reporting effect estimates/uncertainty. Full text must verify objective flood exposure and a hazard-specific direct effect.",FULLTEXT_REVIEW
750,D0116098,Children's reactions to a natural disaster: Symptom severity and degree of exposure,1991,Advances in Behaviour Research and Therapy,cyclone,NARRATIVE_ONLY,"Children were surveyed once three months after Hurricane Hugo, and exposure levels were constructed from their perceptions, reported home damage, and parental job loss.",NARRATIVE_ONLY,"Single post-event cross-sectional survey collected about 3 months after Hurricane Hugo; anxiety and PTSD measured once and hurricane exposure graded by self-reported severity, home damage, and job loss. No pre-event baseline or credible temporal counterfactual, so unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
751,D0116347,Morbidity of Hurricane Elena,1988,Southern Medical Journal,cyclone,FULLTEXT_REVIEW,"Emergency-department psychiatric visits were compared for one week before and two weeks after hurricane landfall, but only a significant increase is reported.",FULLTEXT_REVIEW,"Hurricane Elena pre/post ED log study with psychiatric service use outcome; abstract reports only a 'significant increase' but gives no counts, effect size, or uncertainty. Full text is needed to verify an extractable hazard effect and whether the short pre/post comparison is a credible counterfactual.",FULLTEXT_REVIEW
